"AR1","AR2","AR3","AR4","CB1","CB2","CB3","CB4","CE1","CE2","CE3","CE4","MRP1","MRP2","MRP3","MRP4","MMRQ1","MMRQ2","MMRQ3","MMRQ4","Augmented_Reality","Consumer_Behaviour","Consumer_Engagement","Moderator_Price","Mediated_Moderator_Quality"
4,5,2,2,4,5,4,2,4,4,3,4,2,4,4,2,3,4,1,1,3.25,3.75,3.75,3.0,2.25
4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4.0,4.0,4.0,3.5,4.0
4,5,5,4,5,3,5,5,2,2,4,5,5,4,2,2,3,4,5,5,4.5,4.5,3.25,3.25,4.25
4,5,5,4,4,5,3,3,4,4,4,5,3,2,2,3,4,4,4,4,4.5,3.75,4.25,2.5,4.0
4,5,4,3,4,5,4,4,4,5,4,4,5,1,3,2,2,4,3,4,4.0,4.25,4.25,2.75,3.25
2,5,2,3,4,3,4,2,4,4,4,1,2,1,4,2,4,4,4,5,3.0,3.25,3.25,2.25,4.25
2,5,2,3,4,3,4,2,4,4,4,1,2,1,4,2,4,4,4,5,3.0,3.25,3.25,2.25,4.25
4,4,4,4,4,4,5,3,4,4,4,4,4,2,4,4,4,4,4,4,4.0,4.0,4.0,3.5,4.0
1,5,1,3,4,3,5,4,3,3,4,5,4,3,3,3,4,4,4,3,2.5,4.0,3.75,3.25,3.75
5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,5,5.0,4.75,5.0,4.25,4.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4.0,4.0,4.0,3.5,4.0
2,4,4,5,4,5,5,2,2,4,4,4,3,4,3,2,2,4,2,3,3.75,4.0,3.5,3.0,2.75
2,4,5,4,4,3,4,3,4,4,5,5,4,4,5,3,3,5,5,5,3.75,3.5,4.5,4.0,4.5
5,5,4,5,5,4,5,4,5,5,4,5,5,2,4,4,4,4,5,5,4.75,4.5,4.75,3.75,4.5
5,5,3,5,5,5,4,3,4,4,4,4,4,3,4,3,2,3,4,3,4.5,4.25,4.0,3.5,3.0
4,4,4,4,4,4,4,4,2,2,2,4,4,4,3,4,1,2,1,5,4.0,4.0,2.5,3.75,2.25
4,4,4,4,4,1,5,2,1,1,3,4,3,2,4,4,4,2,4,4,4.0,3.0,2.25,3.25,3.5
2,5,4,4,4,5,5,2,4,4,4,4,4,4,5,4,4,4,4,4,3.75,4.0,4.0,4.25,4.0
4,4,4,4,4,3,4,4,5,4,4,4,4,5,4,4,4,4,3,4,4.0,3.75,4.25,4.25,3.75
4,4,5,2,5,3,4,3,1,3,4,4,2,2,4,4,2,4,2,4,3.75,3.75,3.0,3.0,3.0
3,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4.25,3.75,4.0,4.0,4.0
4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,3,4,3.75,4.0,3.75,3.25,3.5
4,5,4,4,4,4,4,2,3,3,3,4,4,5,4,4,3,4,4,4,4.25,3.5,3.25,4.25,3.75
1,2,4,4,2,4,4,2,4,5,4,4,4,2,2,2,4,4,4,4,2.75,3.0,4.25,2.5,4.0
2,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3.75,3.75,4.0,4.0,3.75
2,4,4,4,4,3,4,2,4,3,2,4,4,2,4,3,3,4,4,4,3.5,3.25,3.25,3.25,3.75
4,4,4,4,5,4,5,2,4,4,4,5,4,4,4,3,3,4,4,4,4.0,4.0,4.25,3.75,3.75
2,4,4,4,5,5,4,2,3,4,4,5,4,4,5,3,3,4,4,4,3.5,4.0,4.0,4.0,3.75
4,4,4,4,5,4,4,3,2,3,3,3,3,3,3,3,4,3,3,3,4.0,4.0,2.75,3.0,3.25
5,5,5,5,5,4,4,3,5,4,4,4,3,2,4,3,3,4,3,4,5.0,4.0,4.25,3.0,3.5
3,4,4,5,4,4,3,2,3,4,3,4,4,2,4,3,4,4,4,4,4.0,3.25,3.5,3.25,4.0
1,4,4,1,4,4,4,5,1,2,1,3,3,3,2,2,2,2,2,2,2.5,4.25,1.75,2.5,2.0
5,5,5,4,5,5,4,3,5,5,5,5,3,5,5,5,5,5,4,5,4.75,4.25,5.0,4.5,4.75
4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,4,4,4,4,4.0,3.75,4.0,3.25,4.0
4,4,5,5,5,4,4,3,4,5,4,4,2,2,2,2,2,4,2,4,4.5,4.0,4.25,2.0,3.0
5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5.0,5.0,4.25,5.0,4.25
5,5,4,4,4,5,5,4,3,4,4,4,3,4,3,4,4,4,3,3,4.5,4.5,3.75,3.5,3.5
4,4,4,4,4,5,4,2,3,3,3,3,3,4,3,2,2,4,4,3,4.0,3.75,3.0,3.0,3.25
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0
2,5,5,5,4,5,5,2,5,5,4,5,2,2,5,4,4,5,4,4,4.25,4.0,4.75,3.25,4.25
5,5,5,5,5,5,4,4,4,5,5,5,5,1,5,5,5,5,5,5,5.0,4.5,4.75,4.0,5.0
4,4,4,4,4,4,4,4,3,3,3,4,4,2,4,2,4,4,4,4,4.0,4.0,3.25,3.0,4.0
1,5,5,5,5,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4.0,4.5,4.25,4.25,4.0
4,5,5,5,5,5,4,5,5,5,4,5,5,4,3,4,4,4,4,4,4.75,4.75,4.75,4.0,4.0
5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,5.0,4.5,5.0,4.25,5.0
5,4,5,4,5,4,4,2,3,4,3,4,4,4,3,4,3,4,4,4,4.5,3.75,3.5,3.75,3.75
4,5,5,5,4,5,5,4,3,5,4,5,4,4,3,5,2,4,4,4,4.75,4.5,4.25,4.0,3.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,4.0,4.0,4.0,3.5,3.5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.75,4.0,4.0,4.0,4.0
3,5,4,5,5,3,5,3,5,5,5,3,2,4,5,5,4,5,2,5,4.25,4.0,4.5,4.0,4.0
4,5,4,4,4,3,5,2,3,4,3,5,4,4,4,2,3,4,2,4,4.25,3.5,3.75,3.5,3.25
5,5,5,5,5,5,5,1,4,5,4,5,5,4,5,4,5,4,5,5,5.0,4.0,4.5,4.5,4.75
5,5,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4.75,3.5,4.0,4.0,4.0
4,4,5,4,4,4,4,4,1,4,4,4,3,4,4,4,4,4,4,4,4.25,4.0,3.25,3.75,4.0
5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,5,5,4,5,4,5.0,4.75,4.75,4.5,4.5
4,5,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,4,4,4.25,4.0,4.0,3.5,4.0
4,4,4,4,5,5,5,3,4,5,5,5,5,3,3,4,4,5,5,5,4.0,4.5,4.75,3.75,4.75
5,5,5,4,5,5,5,4,2,5,4,5,5,5,4,4,4,4,4,4,4.75,4.75,4.0,4.5,4.0
2,4,4,4,4,4,4,2,4,4,4,4,4,5,4,3,4,4,4,2,3.5,3.5,4.0,4.0,3.5
5,5,5,5,5,5,5,3,5,5,5,5,3,5,3,3,5,5,5,5,5.0,4.5,5.0,3.5,5.0
4,5,4,4,4,4,4,2,4,4,4,4,3,4,3,2,4,4,4,4,4.25,3.5,4.0,3.0,4.0
5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5.0,4.75,5.0,4.75,5.0
1,4,4,5,4,5,4,2,5,5,5,5,4,3,5,4,4,4,4,5,3.5,3.75,5.0,4.0,4.25
5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,2,2,5,5,5,5.0,4.0,4.0,4.25,4.25
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.75,5.0,5.0,5.0,5.0
4,5,4,4,4,4,5,2,5,4,4,5,5,3,5,4,4,4,4,4,4.25,3.75,4.5,4.25,4.0
4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4.0,3.75,4.25,4.0,3.75
4,5,4,5,5,4,4,2,4,4,4,4,4,4,3,4,2,4,4,4,4.5,3.75,4.0,3.75,3.5
4,5,5,3,5,4,4,2,4,5,4,5,5,4,4,5,4,4,4,5,4.25,3.75,4.5,4.5,4.25
1,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,3.5,4.0,4.0,4.5,4.0
1,5,5,4,5,5,4,4,2,4,2,4,4,5,4,2,2,2,4,2,3.75,4.5,3.0,3.75,2.5
4,3,4,3,4,4,4,3,4,4,3,4,4,5,2,4,3,4,4,3,3.5,3.75,3.75,3.75,3.5
3,5,5,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4.25,4.25,4.25,4.25,4.0
4,4,5,4,4,5,4,3,4,4,3,5,4,3,4,4,3,4,3,4,4.25,4.0,4.0,3.75,3.5
4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4.0,3.75,4.0,3.75,4.0
4,5,5,3,5,5,5,2,4,4,4,4,2,4,2,4,2,4,1,1,4.25,4.25,4.0,3.0,2.0
2,5,4,5,5,5,5,4,4,5,4,5,4,4,4,5,4,4,4,4,4.0,4.75,4.5,4.25,4.0
1,4,4,4,5,5,4,2,4,3,4,4,4,4,3,2,3,4,4,4,3.25,4.0,3.75,3.25,3.75
4,4,4,5,5,4,4,2,4,4,4,4,4,2,4,4,4,2,2,4,4.25,3.75,4.0,3.5,3.0
2,5,4,4,5,4,5,4,3,3,4,4,3,4,3,2,2,4,3,2,3.75,4.5,3.5,3.0,2.75
1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4.0,5.0,5.0,4.5,5.0
4,4,5,4,5,5,4,4,4,4,4,4,3,4,4,2,3,4,2,4,4.25,4.5,4.0,3.25,3.25
5,4,4,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4.25,4.5,4.0,4.0,4.0
1,4,4,4,4,4,4,2,4,4,1,4,4,4,3,4,4,5,5,4,3.25,3.5,3.25,3.75,4.5
4,4,5,4,5,4,4,5,4,4,4,4,3,4,4,5,4,4,4,4,4.25,4.5,4.0,4.0,4.0
4,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4.75,3.75,4.0,4.0,4.0
4,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4.25,4.75,5.0,4.75,5.0
5,4,4,4,3,4,4,3,4,2,3,1,2,1,2,2,2,2,3,2,4.25,3.5,2.5,1.75,2.25
4,4,4,4,4,5,4,3,4,5,5,5,5,5,4,4,4,5,4,4,4.0,4.0,4.75,4.5,4.25
4,5,5,1,4,5,5,1,2,4,3,5,3,4,2,2,3,4,4,4,3.75,3.75,3.5,2.75,3.75
5,5,4,5,4,4,4,2,5,5,4,5,5,2,4,4,3,4,4,4,4.75,3.5,4.75,3.75,3.75
2,4,4,4,4,4,4,2,4,4,4,4,3,4,4,2,3,3,4,4,3.5,3.5,4.0,3.25,3.5
3,4,4,4,4,4,4,3,3,4,3,4,3,4,4,3,3,4,3,4,3.75,3.75,3.5,3.5,3.5
2,5,5,5,5,4,4,2,4,3,5,5,3,3,2,2,3,4,2,4,4.25,3.75,4.25,2.5,3.25
5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5.0,4.75,5.0,4.0,5.0
2,5,4,4,4,5,4,2,4,4,4,4,3,2,4,3,2,4,4,3,3.75,3.75,4.0,3.0,3.25
5,4,4,4,5,5,4,1,4,4,4,5,4,4,5,4,5,5,3,4,4.25,3.75,4.25,4.25,4.25
1,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3.25,3.25,4.0,4.0,4.0
5,5,5,5,5,5,5,3,3,4,5,5,5,5,3,3,3,5,3,3,5.0,4.5,4.25,4.0,3.5
4,5,5,4,5,5,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4.5,4.5,4.0,3.75,3.5
1,5,4,5,5,5,4,2,5,4,5,4,5,4,4,5,5,5,5,3,3.75,4.0,4.5,4.5,4.5
2,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,2,4,4,4,3.5,3.5,4.0,3.0,3.5
4,4,3,4,5,4,3,5,4,2,4,2,4,2,2,2,4,3,4,4,3.75,4.25,3.0,2.5,3.75
2,4,4,3,4,4,4,2,2,2,2,4,2,2,2,2,2,4,2,2,3.25,3.5,2.5,2.0,2.5
5,5,5,5,5,5,5,3,3,4,3,5,5,2,4,4,3,5,2,4,5.0,4.5,3.75,3.75,3.5
5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,3,5,5.0,4.75,5.0,4.75,4.5
3,5,5,4,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,3,4.25,4.5,5.0,4.0,4.25
1,4,4,5,4,5,4,1,4,1,4,5,4,1,2,3,2,1,2,2,3.5,3.5,3.5,2.5,1.75
5,5,5,5,5,5,4,2,5,5,2,5,5,4,5,4,4,5,4,4,5.0,4.0,4.25,4.5,4.25
4,4,4,4,5,5,5,4,5,5,4,5,4,4,5,4,5,4,4,5,4.0,4.75,4.75,4.25,4.5
3,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,3,4,3.75,3.75,4.0,3.5,3.75
5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,4,2,4,4,5.0,5.0,4.5,4.5,3.5
4,4,4,5,4,5,5,3,4,4,5,5,5,4,5,4,4,5,5,5,4.25,4.25,4.5,4.5,4.75
5,5,5,5,5,5,4,2,4,5,4,1,1,1,3,4,5,5,5,5,5.0,4.0,3.5,2.25,5.0
4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,5,4,5,5,4.25,4.5,4.0,4.0,4.75
1,5,5,4,5,5,4,2,4,5,4,4,4,5,5,3,4,4,5,5,3.75,4.0,4.25,4.25,4.5
3,5,5,4,5,5,5,2,4,4,3,4,2,4,4,4,4,4,4,4,4.25,4.25,3.75,3.5,4.0
4,5,2,2,4,5,4,2,4,4,3,4,2,4,4,2,3,4,1,1,3.25,3.75,3.75,3.0,2.25
4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4.0,4.0,4.0,3.5,4.0
4,5,5,4,5,3,5,5,2,2,4,5,5,4,2,2,3,4,5,5,4.5,4.5,3.25,3.25,4.25
4,5,5,4,4,5,3,3,4,4,4,5,3,2,2,3,4,4,4,4,4.5,3.75,4.25,2.5,4.0
4,5,4,3,4,5,4,4,4,5,4,4,5,1,3,2,2,4,3,4,4.0,4.25,4.25,2.75,3.25
2,5,2,3,4,3,4,2,4,4,4,1,2,1,4,2,4,4,4,5,3.0,3.25,3.25,2.25,4.25
2,5,2,3,4,3,4,2,4,4,4,1,2,1,4,2,4,4,4,5,3.0,3.25,3.25,2.25,4.25
4,4,4,4,4,4,5,3,4,4,4,4,4,2,4,4,4,4,4,4,4.0,4.0,4.0,3.5,4.0
1,5,1,3,4,3,5,4,3,3,4,5,4,3,3,3,4,4,4,3,2.5,4.0,3.75,3.25,3.75
5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,5,5.0,4.75,5.0,4.25,4.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4.0,4.0,4.0,3.5,4.0
2,4,4,5,4,5,5,2,2,4,4,4,3,4,3,2,2,4,2,3,3.75,4.0,3.5,3.0,2.75
2,4,5,4,4,3,4,3,4,4,5,5,4,4,5,3,3,5,5,5,3.75,3.5,4.5,4.0,4.5
5,5,4,5,5,4,5,4,5,5,4,5,5,2,4,4,4,4,5,5,4.75,4.5,4.75,3.75,4.5
5,5,3,5,5,5,4,3,4,4,4,4,4,3,4,3,2,3,4,3,4.5,4.25,4.0,3.5,3.0
4,4,4,4,4,4,4,4,2,2,2,4,4,4,3,4,1,2,1,5,4.0,4.0,2.5,3.75,2.25
4,4,4,4,4,1,5,2,1,1,3,4,3,2,4,4,4,2,4,4,4.0,3.0,2.25,3.25,3.5
2,5,4,4,4,5,5,2,4,4,4,4,4,4,5,4,4,4,4,4,3.75,4.0,4.0,4.25,4.0
4,4,4,4,4,3,4,4,5,4,4,4,4,5,4,4,4,4,3,4,4.0,3.75,4.25,4.25,3.75
4,4,5,2,5,3,4,3,1,3,4,4,2,2,4,4,2,4,2,4,3.75,3.75,3.0,3.0,3.0
3,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4.25,3.75,4.0,4.0,4.0
